ID|N_MIEMBRO|BHCH03|BHCH04|BHCH05|BHCH06|BHCH07|BHCH08|BHCH09|BHCH10_01|BHCH10_02|BHCH10_99|BHCH11|BHCH12|BHCH13|BHCH14_01|BHCH14_02|BHCH14_03|BHCH14_04|BHCH14_05|BHCH14_06|BHCH14_07|BHCH14_99|BHCH15|BHDC|SELECCIONADO_BI|BHSL01|BHSL02|BHSL03|BHSL04|BHSL05|BHSL06|BHSL07|BHSL08|BHSL09|BHSL10|BHSL11|BHSL12|BHTV01|BHDC01_01|BHDC01_02|BHDC01_03|BHDC01_04|BHDC01_05|BHDC01_06|BHDC01_07|BHDC01_08|BHDC02_01|BHDC02_02|BHDC02_03|BHDC02_04|BHDC02_05|BHDC02_06
112610|1|42|1|2|4|6|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
112610|2|15|3|2|4|6|1|2|8|0||6|2|2|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
138176|1|35|1|1|3|6|2|||||8|1||2|2|1|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
192097|1|26|1|1|3|1|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
192097|2|31|2|2|4|1|2|||||9|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
185333|1|43|1|2|4|3|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
113350|1|45|1|2|4|1|2|||||6|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
113350|2|41|2|1|3|1|2|||||6|1||||||||98||2|0|0|1|1||||||1|3||2|2|2||||||||||||||
113350|3|17|3|2|4|6|1|1|5|0||6|2|4|1|2|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
113350|4|14|3|2|4|6|1|1|6|0||6|2|1|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
169049|1|25|1|1|3|6|1|2|3|0||9|2|1|1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
178511|1|30|1|1|3|6|2|||||9|1||1|2|2|2|2|2|||2|0|0|1|1||||||1|2||1||2||||||||||||||
178511|2|26|9|2|4|6|1|1|8|0||9|2|4|||||||98||2|0|1|2||1|3|||||||||2||||||||||||||
117561|1|42|1|1|3|3|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
117561|2|11|3|2||6|1|2|8|0||4|2|5|1|2|2|2|2|2||||1|0||||||||||||||1|2|2|2|1|2|2|||||||
117561|3|11|3|1||6|1|2|8|0||4|2|5|1|2|2|2|2|2||||1|0||||||||||||||1|2|2|2|1|2|2|||||||
126084|1|52|1|2|4|2|1|2|2|0||8|2|0|1|2|2|2|2|2|||2|0|0|2||5||1|||1|2||1||2||||||||||||||
126084|2|51|2|1|3|2|2|||||8|1||1|2|2|2|2|2|||2|0|0|2||1|1|||||||||2||||||||||||||
126084|3|25|3|1|3|6|1|2|12|0||9|2|3|1|2|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
126084|4|22|3|1|3|6|1|2|6|0||9|2|2|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
126084|5|19|3|1|3|6|1|2|8|0||9|2|2|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
133384|1|80|1|2|4|6|2|||||6|1||1|2|2|2|2|2|||2|0|1|2||1|3|||||||||1||||||||||||||
188846|1|44|1|2|4|1|2|||||9|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
188846|2|42|2|1|3|1|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
188846|3|18|3|1|3|6|1|1|6|0||6|2|5|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
188846|4|14|3|1|3|6|1|1|6|0||6|2|2|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
188846|5|10|3|2||6|1|1|9|0||4|2|3|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
188846|6|9|3|2||6|1|1|9|0||4|2|2|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
188846|7|10|3|1||6|1|1|9|0||4|2|3|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
101153|1|83|1|1|3|5|2|||||6|1||2|1|2|1|2|2|||1|1|0|2||1|3|||||||||2|2|2|2|2|1|2|2|||||||
101153|2|20|6|1|3|6|1|1|0|0||9|2|2|1|2|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
178424|1|28|1|2|4|6|2|||||6|1||2|2|2|1|2|2|||2|0|1|1|1||||||1|2||2|2|2||||||||||||||
160907|1|41|1|2|4|6|2|||||9|1||2|2|1|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
157143|1|34|1|2|4|6|2|||||9|1||2|2|2|1|1|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
157143|2|54|7|1|3|3|2|||||9|1||2|2|2|1|1|2|||2|0|0|2||1|3|||||||||2||||||||||||||
157143|3|84|12|1|4|5|2|||||10|1||||||||98||1|1|0|2||1|3|||||||||2|2|2|2|2|1|2|2|||||||
157143|4|27|9|2|4|1|2|||||9|1||2|2|2|1|1|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
157143|5|27|14|1|3|1|2|||||9|1||2|2|2|1|1|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
175208|1|33|1|1|3|1|2|||||9|1||2|2|1|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
175208|2|33|2|2|4|1|2|||||9|2|4|1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
147351|1|48|1|2|4|1|2|||||6|1||||||||98||2|0|0|1|1||||||2|2||2|2|2||||||||||||||
147351|2|50|2|1|3|1|2|||||6|1||||||||98||2|0|1|1|1||||||2|2||2|2|2||||||||||||||
147351|3|18|3|2|4|6|2|||||6|1||||||||98||2|0|0|2||1|3|||||||||2||||||||||||||
146515|1|37|1|2|4|6|2|||||8|1||||||||98||2|0|0|1|1||||||4|2||2|1|2||||||||||||||
146515|2|57|7|1|3|4|2|||||6|1||||||||98||2|0|0|2||1|2|||||||||2||||||||||||||
146515|3|30|9|1|3|6|2|||||98|2|1|||||||98||1|1|1|2||2|3|||||||||2|2|2|2|2|1|99|2|||||||
111015|1|52|1|2|4|6|2|||||9|1||2|2|2|1|2|2|||2|0|1|1|1||||||2|1|2||2|2||||||||||||||
188145|1|77|1|2|4|6|2|||||9|1||2|1|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
189430|1|80|1|2|4|2|2|||||9|1||2|1|2|1|2|2|||2|0|0|1|1||||||3|2||1||2||||||||||||||
189430|2|71|2|1|3|2|2|||||8|1||2|1|2|1|2|2|||2|0|1|2||2|1|||||||||2||||||||||||||
189430|3|30|3|2|4|6|1|2|2|0||9|1||2|2|2|1|2|1|||2|0|0|2||1|3|||||||||2||||||||||||||
168457|1|33|1|1|3|4|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
100331|1|24|1|2|4|6|1|1|4|0||9|2|3|1|2|2|2|2|2|||2|0|0|1|1||||||1|2||2|2|2||||||||||||||
100331|2|22|14|2|4|6|2|||||6|1||||||||98||2|0|1|2||1|3|||||||||2||||||||||||||
161256|1|36|1|2|4|6|2|||||8|1||||||||98||2|0|1|1|1||||||4|2||2|2|2||||||||||||||
145122|1|39|1|2|4|6|2|||||9|1||||||||98||2|0|1|1|1||||||2|2||2|2|2||||||||||||||
151675|1|25|1|2|4|6|2|||||6|2|2|1|2|2|2|2|2|||2|0|1|1|1||||||1|2||1||2||||||||||||||
184741|1|55|1|2|4|2|2|||||8|2|3|2|2|2|1|2|2|||2|0|0|1|1||||||1|1|2||2|2||||||||||||||
184741|2|55|2|1|3|2|2|||||9|2|3|2|2|2|1|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
184741|3|19|3|1|3|6|1|1|6|0||9|2|1|2|2|2|1|2|2|||2|0|0|2||3|||1|||||||2||||||||||||||
134070|1|49|1|1|3|6|2|||||6|2|2|||||||98||2|0|0|1|1||||||3|1|2||2|2||||||||||||||
134070|2|26|3|1|3|6|2|||||6|1||||||||98||2|0|1|2||2|3|||||||||2||||||||||||||
134070|3|5|6|2||6|1|1|4|0||3|2|4|||||||98|||1|0||||||||||||||2|2|2|2|1|2|2|||||||
173659|1|70|1|2|4|2|2|||||9|1||2|1|2|2|2|2|||2|0|0|2||2|3|||||||||2||||||||||||||
173659|2|64|2|1|3|2|2|||||6|1||2|1|2|2|2|2|||2|0|1|2||2|3|||||||||2||||||||||||||
123528|1|61|1|2|4|3|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
118718|1|27|1|2|4|1|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
118718|2|24|2|1|3|1|2|||||4|1||2|2|2|2|2|2|||2|0|0|1|1||||||1|3||2|2|2||||||||||||||
118718|3|22|13|2|4|6|2|||||6|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
118718|4|3|3|1||6|3||||||||1|2|2|2|2|2||||1|0||||||||||||||1|2|2|2|1|2|2|||||||
118718|5|1|3|1||6|3||||||||1|2|2|2|2|2||||1|0||||||||||||||1|2|2|2|1|2|2|||||||
144389|1|32|1|1|3|6|2|||||4|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
144389|2|11|3|1||6|1|1|5|0||4|2|5|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
144389|3|5|3|1||6|1|1|4|0||2|||1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
112184|1|34|1|1|3|2|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||4|2||1||2||||||||||||||
112184|2|35|2|2|4|2|2|||||6|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
112184|3|7|3|2||6|1|1|4|0||4|2|1|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|99|||||||
196151|1|20|1|1|3|6|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
125817|1|37|1|1|3|6|2|||||9|1||2|2|1|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
120528|1|60|1|1|3|2|2|||||9|1||2|1|2|2|2|2|||2|0|1|1|1||||||4|1|2||1|2||||||||||||||
120528|2|74|2|2|4|2|2|||||9|1||2|1|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
190966|1|50|1|1|3|6|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||1|2||1||2||||||||||||||
190966|2|59|13|1|3|6|2|||||8|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
190966|3|57|13|2|4|6|2|||||6|2|3|1|2|2|2|2|2|||2|0|0|1|1||||||3|2||1||2||||||||||||||
124868|1|46|1|1|3|1|2|||||6|2|4|2|2|2|2|2|2|||2|0|1|1|1||||||3|2||2|1|2||||||||||||||
124868|2|39|2|2|4|1|2|||||6|2|4|2|2|1|2|2|2|||2|0|0|1|1||||||3|2||2|1|2||||||||||||||
108244|1|67|1|2|4|2|2|||||6|1||2|2|1|2|2|2|||2|0|1|1|1||||||1|2||2|2|2||||||||||||||
108244|2|20|3|1|3|6|2|||||6|1||||||||98||2|0|0|1|1||||||2|2||1||2||||||||||||||
108244|3|65|2|1|3|2|2|||||6|2|3|2|2|1|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
108244|4|23|3|2|4|6|2|||||6|2|5|||||||98||2|0|0|1|1||||||1|2||2|2|2||||||||||||||
108244|5|17|3|2|4|6|1|1|5|0||6|2|3|1|2|1|2|2|2|||2|0|0|2||3|||1|||||||2||||||||||||||
102020|1|49|1|1|3|3|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
102020|2|25|3|1|3|6|1|1|||99|8|2|1|2|2|1|2|2|2|||2|0|0|1|1||||||1|2||1||2||||||||||||||
111648|1|70|1|1|3|6|2|||||8|1||2|1|2|2|2|2|||2|0|1|2||3|||2|6||||||2||||||||||||||
144306|1|39|1|2|4|6|2|||||10|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
195910|1|31|1|1|3|6|1|2|3|0||8|1||2|2|1|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
190718|1|58|1|2|4|6|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||4|2||1||1||||||||||||||
139301|1|60|1|1|3|3|2|||||6|1||1|2|2|2|2|2|||2|0|1|1|1||||||1|3||1||2||||||||||||||
157435|1|37|1|1|3|6|2|||||9|1||2|2|2|1|2|2|||2|0|1|2||5||1|||4|1|2||1|2||||||||||||||
183334|1|32|1|1|3|2|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
183334|2|30|2|2|4|2|2|||||8|1||1|2|2|2|2|2|||2|0|0|1|1||||||1|2||1||2||||||||||||||
183334|3|1|3|2||6|99||||||||1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
102798|1|34|1|2|4|2|2|||||6|1||1|2|2|2|2|2|||2|0|0|1|1||||||3|2||1||2||||||||||||||
102798|2|28|2|1|3|2|2|||||4|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
102798|3|6|3|2||6|1|1|8|0||4|2|0|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
102798|4|0|3|2||6|3||||||||1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
161550|1|72|1|1|3|5|2|||||6|1||2|1|2|2|2|2|||2|0|1|2||3|||1|||||||2||||||||||||||
109161|1|46|1|2|4|6|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
105113|1|24|1|2|4|6|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
157714|1|63|1|1|3|6|2|||||6|1||2|1|2|2|2|2|||1|1|1|2||1|3|||||||||2|1|1|2|2|2|2|2|||||||
102691|1|26|1|1|3|3|2|||||8|1||2|2|1|2|2|2|||2|0|1|1|1||||||1|2||1||2||||||||||||||
159780|1|45|1|1|3|1|2|||||8|1||||||||98||2|0|0|1|1||||||2|1|2||2|2||||||||||||||
159780|2|48|2|2|4|1|2|||||8|1||2|2|1|2|2|2|||2|0|1|1|1||||||2|1|2||1|2||||||||||||||
159780|3|6|3|2||6|1|2|8|0||3|2|0|2|2|1|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
171816|1|66|1|1|3|2|2|||||10|1||1|2|2|1|2|2|||2|0|0|1|1||||||2|1|2||2|2||||||||||||||
171816|2|69|2|2|4|2|2|||||9|1||1|2|2|1|2|2|||2|0|1|1|1||||||2|1|2||2|2||||||||||||||
136078|1|84|1|1|3|2|2|||||8|1||2|2|2|1|2|2|||2|0|0|1|1||||||2|1|1||2|2||||||||||||||
136078|2|84|2|2|4|2|2|||||10|1||2|2|2|1|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
126627|1|65|1|2|4|2|2|||||9|1||2|2|1|2|2|2|||2|0|0|1|1||||||2|1|2||1|2||||||||||||||
126627|2|62|2|1|3|2|2|||||9|1||1|2|2|1|2|2|||2|0|1|1|1||||||1|1|2||2|2||||||||||||||
183940|1|69|1|1|3|5|2|||||8|2|3|2|1|2|1|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
150987|1|25|1|2|4|3|1|2|6|0||10|2|1|1|2|2|2|2|2|||2|0|1|1|1||||||3|2||1||1||||||||||||||
115723|1|52|1|1|3|3|2|||||8|1||1|2|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
115723|2|20|3|1|3|6|1|1|4|0||9|2|0|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
170076|1|49|1|1|3|1|2|||||8|1||1|2|2|2|1|2|||2|0|0|1|1||||||1|2||1||2||||||||||||||
170076|2|52|2|2|4|1|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
108088|1|39|1|2|4|3|2|||||8|1||2|2|1|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
117784|1|57|1|1|3|6|2|||||10|1||2|2|2|1|2|2|||2|0|1|1|1||||||4|1|2||1|1||||||||||||||
127059|1|30|1|2|4|1|2|||||8|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
127059|2|29|2|1|3|1|2|||||10|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
161576|1|33|1|2|4|6|2|||||9|1||2|2|1|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
109999|1|29|1|1|99|1|1|2|6|0||9|2|2|2|2|1|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
109999|2|28|2|2|4|1|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
141157|1|24|1|1|3|6|1|1|5|0||9|2|5|2|2|2|1|2|2|||2|0|1|2||1|3|||||||||1||||||||||||||
141157|2|20|9|1|3|6|1|1|5|0||9|2|2|2|2|2|1|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
149299|1|23|1|1|3|3|1|2|5|0||9|2|4|1|2|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
161345|1|22|1|2|4|3|1|1|4|0||9|2|1|2|2|2|2|2|2|||2|0|1|2||3|||1|||||||2||||||||||||||
134884|1|40|1|1|3|3|2|||||9|2|4|2|2|1|2|2|2|||2|0|1|1|1||||||2|1|2||1|2||||||||||||||
190942|1|70|1|1|3|2|2|||||10|1||1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
190942|2|70|2|2|4|2|2|||||8|1||2|1|2|2|2|2|||2|0|1|2||1|3|||||||||2||||||||||||||
175029|1|79|1|2|4|2|2|||||10|2|1|1|2|2|1|1|2|||2|0|0|2||1|3|||||||||2||||||||||||||
175029|2|74|2|1|3|2|2|||||9|1||1|2|2|1|1|2|||2|0|1|1|1||||||1|1|2||1|2||||||||||||||
129366|1|33|1|2|4|2|2|||||9|1||1|2|2|2|2|2|||2|0|0|1|1||||||4|2||1||2||||||||||||||
129366|2|29|2|1|3|2|2|||||10|1||1|2|2|2|2|2|||2|0|1|1|1||||||3|1|1||1|2||||||||||||||
188138|1|70|1|1|3|2|2|||||9|1||2|2|2|1|2|2|||2|0|1|1|1||||||4|1|2||1|2||||||||||||||
188138|2|73|2|2|4|2|2|||||9|1||2|2|2|1|2|2|||2|0|0|1|1||||||4|1|2||1|2||||||||||||||
193873|1|38|1|1|3|6|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
142850|1|54|1|2|4|3|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||1|2||1||2||||||||||||||
142850|2|52|9|1|3|6|2|||||8|1||1|2|2|2|2|2|||2|0|0|1|1||||||4|2||1||2||||||||||||||
142850|3|56|9|1|3|6|2|||||9|1||||||||98||2|0|0|2||3|||1|||||||2||||||||||||||
107327|1|73|1|2|4|2|2|||||10|1||1|1|2|2|2|2|||2|0|0|1|1||||||1|1|2||1|2||||||||||||||
107327|2|64|2|1|3|2|2|||||9|1||1|1|2|2|2|2|||2|0|1|1|1||||||2|1|2||1|2||||||||||||||
164581|1|46|1|2|4|2|2|||||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||4|2||1||1||||||||||||||
164581|2|50|2|1|3|2|2|||||9|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|1|2||1|1||||||||||||||
164581|3|19|3|1|3|6|1|1|6|0||9|2|0|1|2|2|2|2|2|||2|0|0|1|1||||||1|2||2|2|1||||||||||||||
150590|1|33|1|1|3|6|2|||||4|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
150590|2|24|11|1|3|6|2|||||8|2|2|||||||98||2|0|1|1|1||||||2|2||1||2||||||||||||||
150590|3|12|3|2||6|1|1|8|0||4|2|6|1|2|2|2|2|2||||1|0||||||||||||||99|99|99|99|1|99|99|||||||
150590|4|7|3|1||6|1|1|4|0||4|2|1|1|2|2|2|2|2||||1|0||||||||||||||1|2|2|2|1|2|2|||||||
152472|1|35|1|2|4|2|2|||||9|1||||||||98||2|0|0|1|1||||||3|2||2|2|2||||||||||||||
152472|2|36|2|1|3|2|2|||||9|1||||||||98||2|0|1|2||1|1|||||||||2||||||||||||||
152472|3|10|3|1||6|1|2|8|0||4|2|3|||||||98|||1|0||||||||||||||2|2|2|2|1|2|2|||||||
152472|4|0|3|1||6|3||||||||||||||98|||1|0||||||||||||||2|2|2|2|1|2|2|||||||
108949|1|41|1|2|4|2|2|||||4|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
108949|2|36|2|1|3|2|2|||||6|1||1|2|2|2|2|2|||2|0|1|2||1|1|||||||||2||||||||||||||
108949|3|7|3|2||6|1|1|5|0||4|2|0|1|2|2|2|2|2||||1|0||||||||||||||2|2|2|2|1|2|2|||||||
167758|1|61|1|2|99|2|2|||||8|1||2|2|1|2|2|2|||2|0|1|2||5||1|||1|2||1||2||||||||||||||
167758|2|64|2|1|3|2|2|||||9|1||2|2|1|2|2|2|||2|0|0|1|1||||||1|2||1||2||||||||||||||
167758|3|26|3|1|3|6|2|||||9|1||2|2|1|2|2|2|||2|0|0|1|1||||||3|2||1||2||||||||||||||
167758|4|28|3|2|4|6|2|||||9|1||2|2|1|2|2|2|||2|0|0|1|1||||||3|2||1||2||||||||||||||
145321|1|47|1|2|4|1|2|||||6|2|3|1|2|2|2|2|2|||2|0|1|1|1||||||2|2||1||2||||||||||||||
145321|2|41|2|1|3|1|2|||||4|1||1|2|2|2|2|2|||2|0|0|1|1||||||2|2||1||2||||||||||||||
145321|3|19|3|1|3|6|1|2|5|0||8|2|1|1|2|2|2|2|2|||2|0|0|2||1|3|||||||||2||||||||||||||
198625|1|53|1|2|4|3|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||3|2||1||2||||||||||||||
169001|1|63|1|2|4|4|2|||||8|1||1|2|2|2|2|2|||2|0|1|1|1||||||4|2||1||2||||||||||||||
163648|1|64|1|1|3|4|1|1|2|0||9|1||1|2|2|2|2|2|||2|0|1|1|1||||||4|2||1||1||||||||||||||
163648|2|31|3|2|4|6|1|1|6|0||9|2|4|||||||98||2|0|0|2||1|3|||||||||2||||||||||||||
