"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPRPHJOKOCDEGPDJ00658249";3;2020;19;1;38;32700;8175;1;333;3;2;2;0;1;2;2;2;0;2;0;1;;2;;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;4;2;2;1;;3;2;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;331
"TQRMNOQURHJOKOCDEGPDJ00658250";3;2020;19;1;38;22000;22000;1;322;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;1;;3;2;;1;1;1;1;;1;1;1;1;1;2;2;1;0;98;0;0;0;320
"TQRMNOQUTHJOKOCDEGPDJ00658251";3;2020;19;1;38;83500;"10437,5";1;330;4;4;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;8;1;7;1;;4;2;;2;1;1;1;;1;1;1;1;2;2;2;2;3;4;5;6;0;331
"TQRMNOPRPHJKKPCDEGPDJ00658252";3;2020;19;1;38;123000;61500;1;288;3;2;1;1;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;288
"TQRMNOQUTHJKKPCDEGPDJ00658253";3;2020;19;1;38;118000;29500;1;369;3;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;369
"TQRMNOQUVHJKKPCDEGPDJ00658254";3;2020;19;1;38;130000;26000;1;369;4;2;2;0;1;1;2;2;0;2;0;3;;4;"ELECTRICIDAD";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;369
"TQRMNORTUHJKKPCDEGPDJ00658259";3;2020;19;1;38;55000;11000;1;295;3;2;1;1;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;3;98;0;0;0;295
"TQRMNOPRPHJOKQCDEGPDJ00658269";3;2020;19;1;38;63000;31500;1;66;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;97;0;0;0;65
"TQRMNOPRQHJOKQCDEGPDJ00658270";3;2020;19;1;38;54000;27000;1;65;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;1;2;2;2;0;97;0;0;0;65
"TQRMNOPRSHJOKQCDEGPDJ00658271";3;2020;19;2;38;55400;27700;1;66;5;2;1;1;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;99;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;98;0;0;0;66
"TQRMNOPRSHJOKQCDEGPDJ00658271";3;2020;19;1;38;30000;15000;1;84;5;3;1;1;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;99;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;1;0;0;0;84
"TQRMNOQTPHJLKOCDEFNFF00657439";3;2020;7;1;54;0;0;1;0;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;127
