indice_tiempo,gran_buenos_aires,cuyo,noreste,noroeste,pampeana,patagonia,Trimestre
2016-07-01,4002.896666666667,3819.0499999999997,3368.596666666667,3253.1066666666666,3988.1433333333334,4679.366666666667,3T2016
2016-10-01,4176.54,3987.67,3505.09,3380.8233333333337,4158.266666666666,4894.53,4T2016
2017-01-01,4331.493333333334,4121.12,3613.5266666666666,3474.463333333333,4303.066666666667,5085.093333333333,1T2017
2017-04-01,4666.393333333333,4438.049999999999,3890.443333333333,3747.186666666667,4625.41,5457.543333333334,2T2017
2017-07-01,4863.076666666667,4623.91,4052.873333333333,3919.7966666666666,4823.009999999999,5672.296666666666,3T2017
2017-10-01,5086.96,4846.193333333333,4251.056666666666,4122.796666666667,5063.836666666666,5938.636666666666,4T2017
2018-01-01,5522.0233333333335,5259.753333333334,4612.24,4463.286666666667,5502.026666666668,6479.796666666666,1T2018
2018-04-01,5928.683333333334,5616.936666666667,4941.543333333334,4766.540000000001,5869.753333333334,6928.29,2T2018
2018-07-01,6537.736666666667,6229.246666666666,5465.146666666667,5284.829999999999,6481.306666666666,7649.350000000001,3T2018
2018-10-01,7767.57,7400.266666666666,6488.563333333333,6268.616666666668,7693.826666666667,9075.966666666667,4T2018
2019-01-01,8576.826666666668,8127.123333333333,7117.533333333333,6876.356666666667,8496.766666666668,10019.42,1T2019
2019-04-01,9555.816666666666,9012.236666666666,7930.213333333333,7688.416666666667,9427.640000000001,11065.283333333333,2T2019
2019-07-01,10366.353333333333,9806.4,8638.816666666668,8355.479999999998,10237.57,12121.21,3T2019
2019-10-01,11653.550000000001,11082.443333333335,9815.516666666668,9468.023333333334,11530.766666666668,13791.986666666666,4T2019
2020-01-01,12958.256666666668,12240.383333333333,10841.26,10424.026666666667,12844.253333333332,15243.473333333333,1T2020
2020-04-01,13772.300000000001,13034.58,11538.853333333334,11134.133333333331,13627.053333333335,16191.426666666666,2T2020
2020-07-01,14434.693333333335,13564.466666666665,12064.19,11636.113333333333,14217.566666666666,16905.443333333333,3T2020
2020-10-01,16062.910000000002,15214.556666666665,13471.19,12997.376666666669,15943.283333333333,18961.72333333333,4T2020
2021-01-01,18194.59,17104.283333333336,15278.69333333333,14522.410000000002,18014.0,21522.006666666668,1T2021
2021-04-01,20310.273333333334,19025.149999999998,17065.850000000002,16244.75,19990.076666666664,23804.266666666663,2T2021
2021-07-01,21836.463333333333,20514.95,18320.920000000002,17514.726666666666,21463.790000000005,25427.043333333335,3T2021
2021-10-01,23388.95,22193.503333333338,19716.873333333333,18902.313333333335,23158.64,27360.86333333333,4T2021
2022-01-01,25736.556666666667,24521.339999999997,21828.916666666668,20782.623333333333,25582.176666666666,30325.88666666667,1T2022
2022-04-01,30704.16333333333,29165.89333333333,25928.813333333335,24822.123333333333,30435.899999999998,35987.05666666667,2T2022
2022-07-01,36167.346666666665,34421.99333333334,30461.920000000002,29113.743333333332,35727.49666666667,42572.36666666666,3T2022
2022-10-01,44649.37666666667,42337.12333333333,37520.98333333334,35938.94,44108.64333333333,52794.376666666656,4T2022
