Provincia,Indice GTI,Ranking
Buenos Aires,75.94641180869554,17.0
CABA,83.97764611858061,1.0
Catamarca,81.70246225737259,2.0
Chaco,81.13064091846147,3.0
Chubut,74.08837403412653,22.0
Corrientes,78.93144266238409,8.0
Córdoba,74.94408701367739,19.0
Entre Ríos,72.55713734483267,24.0
Formosa,79.24146338902605,7.0
Jujuy,77.80516263940109,11.0
La Pampa,78.13536915891645,9.0
La Rioja,77.65379655620936,12.0
Mendoza,74.72304639374319,20.0
Misiones,73.76963849189042,23.0
Neuquén,74.12600385667054,21.0
Río Negro,79.32394557914348,6.0
Salta,76.01415015059592,16.0
San Juan,77.5242969847902,14.0
San Luis,77.54755692919164,13.0
Santa Cruz,79.68457873023941,5.0
Santa Fe,77.95665751523997,10.0
Santiago del Estero,76.56988833739325,15.0
TdF,81.05716252994293,4.0
Tucumán,75.8701596891188,18.0
