Provincia,Indice MTeI,Ranking
Buenos Aires,77.76391489712267,10.0
CABA,83.36832871063393,1.0
Catamarca,78.97345840723371,8.0
Chaco,79.07190106051844,7.0
Chubut,75.17560485633298,21.0
Corrientes,79.52877435556516,6.0
Córdoba,78.08074211653565,9.0
Entre Ríos,71.32158912539127,24.0
Formosa,80.06930119006431,5.0
Jujuy,77.54038347188278,12.0
La Pampa,74.20687490054736,23.0
La Rioja,77.56262078711562,11.0
Mendoza,75.19523306187615,20.0
Misiones,74.63364026155223,22.0
Neuquén,76.65880731831221,14.0
Río Negro,83.26208746947135,2.0
Salta,75.88686361766439,18.0
San Juan,76.47267833463793,15.0
San Luis,76.44559022473922,16.0
Santa Cruz,76.73078128924031,13.0
Santa Fe,80.16867197978384,4.0
Santiago del Estero,75.82232916504377,19.0
TdF,82.98085701010449,3.0
Tucumán,76.19856331612188,17.0
