PROVINCIA,Insercion laboral,Ranking
Buenos Aires,78.74430962654435,11.0
CABA,85.56038513769315,2.0
Catamarca,83.333431762839,5.0
Chaco,80.59225104626114,7.0
Chubut,75.45073882007064,23.0
Corrientes,81.28322267470088,6.0
Córdoba,76.51606054264265,17.0
Entre Ríos,73.02397278560173,24.0
Formosa,80.09302660769808,8.0
Jujuy,79.8706301226494,9.0
La Pampa,76.25468647445699,19.0
La Rioja,84.04312240692794,3.0
Mendoza,75.90738530007813,20.0
Misiones,76.31288493110713,18.0
Neuquén,78.35392838332616,12.0
Río Negro,83.68963222516584,4.0
Salta,75.58573739388933,22.0
San Juan,78.05234978204945,14.0
San Luis,78.20699035226835,13.0
Santa Cruz,79.69549078685829,10.0
Santa Fe,77.54603548613645,15.0
Santiago del Estero,76.62931822908689,16.0
TdF,86.0017179879011,1.0
Tucumán,75.86330367778649,21.0
