Provincia,Uso del tiempo y oportunidades,Ranking
Buenos Aires,73.24792729748755,19.0
CABA,82.42418540155366,1.0
Catamarca,80.10341345253606,3.0
Chaco,81.67262745970534,2.0
Chubut,72.7506085806609,20.0
Corrientes,76.64770706371546,10.0
Córdoba,73.40440867552884,18.0
Entre Ríos,72.09328633945441,21.0
Formosa,78.39895414104423,6.0
Jujuy,75.79310848114854,15.0
La Pampa,80.06243544972396,4.0
La Rioja,71.75021520971086,22.0
Mendoza,73.55718604044381,17.0
Misiones,71.31114972441456,23.0
Neuquén,70.12621525340658,24.0
Río Negro,75.18599586282802,16.0
Salta,76.44499110998251,12.0
San Juan,76.99981665853883,8.0
San Luis,76.89368378196127,9.0
Santa Cruz,79.67366816771987,5.0
Santa Fe,78.36945387149932,7.0
Santiago del Estero,76.51050453657068,11.0
TdF,76.39688777298498,13.0
Tucumán,75.87701632005093,14.0
