PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Formalidad,LI,LS,ME,ER
CABA,78.91711075823973,74.46933757833716,375,375,433778.0677148794,439346.1937104045,873124.261425284,94.3639938954073,88.32081563412075,100.40717215669386,6.0431782612865605,6.404114548166323
Buenos Aires,64.22082070525565,60.214344973013,1955,1604,1883841.502922361,1445371.368084207,3329212.871006568,93.76140683310393,90.55946680694498,96.96334685926288,3.2019400261589586,3.414987183221811
Catamarca,61.82931094214138,60.575144812322534,516,409,36424.421399185114,28328.579159530633,64753.00055871575,97.97156702750178,91.64698115283892,104.29615290216464,6.324585874662854,6.455532014597121
Córdoba,54.16797109210824,50.597047365791504,788,605,343207.1301096815,223750.24810188005,566957.3782115616,93.4076841825132,88.11861855231183,98.69674981271457,5.289065630201377,5.662345316116445
Corrientes,54.944927468193136,53.50259977038293,368,259,82420.50878948666,57019.80941984113,139440.3182093278,97.37495749967975,89.4541385237189,105.29577647564061,7.920818975960854,8.134349096878326
Chaco,45.7637242006814,57.099490164481914,285,263,71567.1901889858,66998.8153182523,138566.0055072381,124.7701998947711,116.44946157356976,133.09093821597241,8.32073832120132,6.668850677660916
Chubut,79.3229696113873,71.18120385459628,714,577,86318.03045760085,58765.43565711731,145083.46611471818,89.73592920603136,84.99445327883672,94.47740513322601,4.741475927194649,5.2838099177736755
Entre Ríos,65.76384420783138,56.987061470918185,646,522,133306.2088045958,93406.09529633746,226712.30410093325,86.65409110030703,81.0480989996739,92.26008320094017,5.605992100633145,6.469391149857992
Formosa,50.69235075475375,57.63761685440988,313,210,36562.71152499131,24182.484603556335,60745.19612854764,113.70081678251,105.02088137375458,122.38075219126543,8.679935408755421,7.634013241398815
Jujuy,51.82073668707534,49.227781965018465,561,460,65882.10719439232,45430.33146176437,111312.43865615668,94.99629899568063,88.83443125323376,101.15816673812752,6.161867742446878,6.4864292689203085
La Pampa,67.84964958105368,61.65629285286851,264,254,31784.734818300258,26361.58040233136,58146.315220631615,90.87193999316601,82.65633703508446,99.08754295124756,8.215602958081542,9.040857891555296
La Rioja,63.8127643872861,62.29073470092047,567,495,41127.6692028174,33862.00094692418,74989.67014974158,97.61485072621477,91.79471287081775,103.4349885816118,5.820137855397026,5.9623487738777134
Mendoza,60.119239486800936,52.30062090747752,562,421,179976.21491275585,116175.50637141064,296151.7212841665,86.99481456175111,80.73768852118093,93.2519406023213,6.257126040570187,7.192527591548253
Misiones,61.48045536705349,52.90384607373247,426,302,95294.06851363456,64222.35496414936,159516.42347778392,86.04986049287281,78.76644418149877,93.33327680424685,7.283416311374034,8.464181428832523
Neuquén,75.3581915607563,67.43914762422249,481,400,78843.86784883117,61505.56103550152,140349.4288843327,89.49146234467527,83.4982275562955,95.48469713305505,5.9932347883797705,6.696990563520909
Río Negro,73.23017583577735,75.59905418832957,579,527,81509.34097324565,67519.25495216154,149028.5959254072,103.23483908855356,98.09161414837575,108.37806402873136,5.1432249401778085,4.982063211980226
Salta,50.087425473775646,42.34022248613839,601,434,112078.81057499419,69060.18472299655,181138.99529799074,84.5326388522535,78.40170974427282,90.66356796023418,6.130929107980677,7.25273597420322
San Juan,50.77060636223939,51.64914599480258,464,304,64287.0799859373,43923.01141137326,108210.09139731056,101.73040996653648,94.50205080593015,108.95876912714282,7.2283591606063275,7.105406498395167
San Luis,62.948417984043424,53.98063546320541,482,354,48805.1633645237,33123.66031782237,81928.82368234606,85.75376028812792,79.0050312939799,92.50248928227595,6.748728994148025,7.869892785427328
Santa Cruz,83.91107285761653,76.59224249387924,385,360,57109.93269886483,48835.73314476287,105945.6658436277,91.2778729737419,85.56810349126597,96.98764245621783,5.709769482475924,6.255370876267532
Santa Fe,69.16438469215201,60.194519652094115,926,689,372526.40769117424,259250.14041706958,631776.5481082438,87.03109254859648,82.31870650179023,91.74347859540273,4.712386046806255,5.4146005856182375
Santiago del Estero,51.3724282398237,45.780673426173664,394,252,57521.51533158497,34441.2272226145,91962.74255419947,89.11526084080384,81.22889905769036,97.00162262391733,7.886361783113487,8.849619816746921
Tucumán,54.79554377975455,49.684112328318655,574,379,123411.68590188421,77864.6971464517,201276.3830483359,90.67181179553431,84.19758507899395,97.14603851207467,6.474226716540354,7.140286036348089
TdF,93.36386040973274,88.41028933497077,332,235,33499.63498311441,21735.68547610895,55235.32045922336,94.69433777371358,89.803686424339,99.58498912308818,4.890651349374589,5.164671367216843
