PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Horas promedio remuneradas,LI,LS,ME,ER,Ranking
Buenos Aires,42.00349398894564,32.271008737952165,4038,3216,4212473.783819411,3151038.87835929,7363512.662178701,76.82934364090083,-0.0416900775761417,1.5782769503941585,0.80998351398515,1.0542632223581143,14.0
CABA,39.24575592471771,33.164537961818965,690,619,801090.226727775,753090.2456220627,1554180.4723498377,84.5047755620661,-0.7925063072022445,2.4826018184435665,1.6375540628229055,1.9378242849957912,3.0
Catamarca,39.23995112892888,29.881782364860943,1015,784,75075.40310315257,57681.341723062935,132756.7448262155,76.15142604709104,-0.6251562371080117,2.1481847580498323,1.386670497578922,1.820938319292173,18.0
Chaco,41.13052005970844,31.72868692860114,867,614,249748.0620148333,154465.6870892949,404213.7491041282,77.1414678991201,-0.9035717662965048,2.446401124278907,1.674986445287706,2.1713178280171297,12.0
Chubut,42.776272635681096,32.051993170373365,1168,952,140556.61321400313,102314.57305736284,242871.186271366,74.92937368188957,-0.4320459875259813,1.9306334611637728,1.181339724344877,1.5766042958803042,19.0
Corrientes,41.013069189127705,32.88783864257734,931,642,230447.71285219453,154405.65733577198,384853.3701879665,80.18867959117698,-0.9680517130469024,2.571825304870442,1.769938508958672,2.207217425180568,4.0
Córdoba,39.743134233768224,30.51907470608841,1965,1479,902806.9649724668,618885.2627225708,1521692.2276950376,76.79081002161506,-0.3486669084807413,1.8844831089130425,1.116575008696892,1.4540477023000522,15.0
Entre Ríos,43.34534786922436,29.75237477993999,1520,1095,298178.88103021897,218277.0711784699,516455.9522086888,68.64029530851795,-0.6304969510957045,2.003302857266064,1.316899904180884,1.918552212314656,24.0
Formosa,41.57599502749107,35.3708024811403,850,456,106953.76545026831,56358.86240576996,163312.62785603828,85.07505943694736,-0.7734936692629593,2.4749948580019066,1.6242442636324328,1.9091896901185563,2.0
Jujuy,40.379794077140645,31.43563908800928,1408,1196,174596.08001027314,132522.1952250167,307118.2752352898,77.84992421693718,-0.4832502512910596,2.040248735629804,1.2617494934604314,1.6207459495328869,10.0
La Pampa,43.97805898686759,31.20145788414495,622,513,73564.09206907438,54648.20799610681,128212.3000651812,70.94778306032585,-1.492135570582651,2.9110912317891677,2.201613401185909,3.103146153719716,23.0
La Rioja,37.308219414000455,29.68263257821632,1100,828,84905.97323501318,63388.73356935038,148294.70680436355,79.56057148918096,-0.3410562334026999,1.9322676631863192,1.1366619482945095,1.4286749416437745,5.0
Mendoza,39.85149380713991,31.07892984522479,1340,975,425002.38066224894,295058.5450450309,720060.9257072798,77.9868629156797,-0.7082388413348971,2.2679760996484912,1.488107470491694,1.9081514691784087,9.0
Misiones,42.34535003935835,32.44350361654424,972,736,235975.8360325836,164848.35671259149,400824.1927451751,76.61644923560502,-0.5989424413835964,2.131271426095697,1.3651069337396466,1.7817413197285803,16.0
Neuquén,43.86267089943593,33.41740022637806,832,683,140334.60373206585,107859.27336055964,248193.87709262548,76.18642353766879,-0.7453904571448501,2.269118927898226,1.507254692521538,1.9783770159210945,17.0
Río Negro,42.40150787480396,33.71092563756114,1105,868,154190.92647517793,112745.023059909,266935.9495350869,79.50407267849316,-0.4766327391415159,2.066714192711379,1.2716734659264477,1.5995073246989158,6.0
Salta,41.61875272747124,29.90660722772638,1589,1305,306338.0780292097,234684.51552956284,541022.5935587725,71.85848990612821,-0.5729565447745294,2.010126342897093,1.2915414438358117,1.797340085385884,22.0
San Juan,38.120373538942765,28.22691299565032,1275,807,175756.36327711507,113423.86223385583,289180.2255109709,74.04679014179767,-0.5187720091736092,1.9997078120095624,1.259239910591586,1.7006002666424491,20.0
San Luis,41.253442095924974,32.2199321437836,1085,763,109307.3398363038,77808.60389741688,187115.9437337207,78.10240917318822,-0.7209067860061193,2.282954969469884,1.5019308777380016,1.9230275911304404,8.0
Santa Cruz,41.11284016719137,32.31140066865518,573,490,91021.18274035616,70985.94964119229,162007.13238154846,78.59199349219405,-1.1162485437734495,2.68808841361733,1.9021684786953896,2.4203082199261403,7.0
Santa Fe,43.1980061065902,33.31163929646366,1876,1478,792649.2664433806,608018.8129939446,1400668.0794373252,77.11383533366765,-0.4587920498993476,2.001068756572701,1.229930403236024,1.5949542619870711,13.0
Santiago del Estero,41.828404785124015,32.389959871126855,1177,810,170666.19105398087,110300.40370696512,280966.594760946,77.43532185249896,-0.502852412742313,2.051558849792292,1.2772056312673026,1.6493837704970875,11.0
TdF,42.55265923100454,37.32862020786168,416,279,43163.19311609988,28452.88793856697,71616.08105466685,87.72335473845888,-0.9652082153253512,2.719675310094529,1.84244176270994,2.1002864838024635,1.0
Tucumán,38.0692872908436,27.49215355756084,1461,1061,320054.7828824307,224380.11385363425,544434.8967360649,72.2160973162564,-0.5156150851038775,1.9599370314290048,1.2377760582664414,1.713989130215444,21.0
