PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Ingreso laboral promedio,LI,LS,ME,ER
CABA,127512.34516374063,105300.88140919023,480,460,729872.6848306688,696798.7908088181,1426671.475639487,82.5809307122159,,,,
Buenos Aires,88925.92128714058,64055.21880732079,2733,2316,3896987.789192375,2927206.894651942,6824194.683844317,72.0321115375205,,,,
Catamarca,59556.968590555975,49451.962553815494,955,756,70205.00306079756,55341.17596919436,125546.17902999192,83.03304168113277,,,,
Córdoba,82860.0018850994,57436.22240905333,1831,1405,840449.3977025299,583790.4380369378,1424239.8357394678,69.31718694467229,,,,
Corrientes,59040.742418271366,49973.70184914582,917,632,211244.40798792295,144095.3971478221,355339.8051357451,84.64273957652748,,,,
Chaco,53239.27632326126,46557.379578571214,802,581,235488.0669669975,149223.6959879856,384711.76295498305,87.44930959594844,,,,
Chubut,125885.70526957304,83650.26187977605,1115,921,132982.16687151868,98205.62163062932,231187.788502148,66.44937302503605,,,,
Entre Ríos,81897.48975280294,53906.337304961635,1119,875,277406.526847908,208024.1250192682,485430.6518671762,65.82172111461657,,,,
Formosa,58745.046069035896,51383.56582497943,777,426,97327.00000960194,53560.55601742332,150887.55602702525,87.46876419944346,,,,
Jujuy,55560.74001388073,41223.20185706991,1429,1210,161894.7016942502,123983.95439051672,285878.6560847669,74.19483946176945,,,,
La Pampa,99042.96377317593,70361.53955880381,451,407,64894.12788817956,51086.60748886148,115980.73537704104,71.04143179715712,,,,
La Rioja,54285.72456795713,47881.64949438195,1055,848,82920.45110625014,62602.49372890886,145522.944835159,88.20302183577141,,,,
Mendoza,70465.88928079938,49926.29048471935,1113,876,375318.86784284766,272852.39626952796,648171.2641123757,70.85171420425587,,,,
Misiones,66945.31177505656,50546.58928974182,770,583,224184.9280126922,161156.14730140462,385341.0753140968,75.50430037518355,,,,
Neuquén,111503.65694353648,82704.13467217704,647,559,130174.87482420806,100798.06195617435,230972.9367803824,74.17167915313932,,,,
Río Negro,94863.31766407858,80623.38690167731,1006,793,144888.74306592776,111277.26525909487,256166.00832502265,84.98900195244443,,,,
Salta,64859.8922357984,47340.96549912002,1505,1263,276528.91090904584,215916.5709012199,492445.48181026574,72.98958395893067,,,,
San Juan,73490.22835341701,57314.12758633093,1273,817,167490.89998804513,108837.32133179241,276328.22131983755,77.98877329745845,,,,
San Luis,74714.31130078009,59888.553880516636,971,717,104809.98761893806,76077.57284146591,180887.56046040397,80.15673682572157,,,,
Santa Cruz,123740.6133111252,86328.18994016467,498,444,83953.49460586472,67613.50975720948,151567.0043630742,69.76544533774597,,,,
Santa Fe,89866.09599501602,65623.91632341784,1329,1122,741407.7773846944,573036.7198508099,1314444.4972355044,73.02410947845932,,,,
Santiago del Estero,53131.037333688895,43277.001325040146,1158,809,156137.91434407135,105257.050019312,261394.96436338336,81.4533340526356,,,,
Tucumán,60775.69234322656,45367.58760184057,1320,976,288030.1386229432,203175.81563360218,491205.9542565454,74.6475866463688,,,,
TdF,135489.74556511597,121448.03387047553,388,276,41663.8216728054,27372.02964106186,69035.85131386726,89.6363288335411,,,,
