Provincia,Mujer,Varon,Tiempo TNR,Ranking
Buenos Aires,268.1273266561966,138.8321009340476,51.77842283567895,10.0
CABA,272.67949847831466,137.04530564551925,50.25874934136936,11.0
Catamarca,256.4242437775844,103.3652290019234,40.31024035760817,19.0
Chaco,242.8046672591474,116.36647622599848,47.92596350785942,12.0
Chubut,245.97969927110884,133.3939496170978,54.22965798087118,5.0
Corrientes,242.8046672591474,116.36647622599848,47.92596350785942,13.0
Córdoba,254.80394924892244,144.06172514615065,56.53826228784792,1.0
Entre Ríos,254.80394924892244,144.06172514615065,56.53826228784792,2.0
Formosa,242.8046672591474,116.36647622599848,47.92596350785942,14.0
Jujuy,256.4242437775844,103.3652290019234,40.31024035760817,20.0
La Pampa,254.80394924892244,144.06172514615065,56.53826228784792,3.0
La Rioja,256.4242437775844,103.3652290019234,40.31024035760817,21.0
Mendoza,281.0431647452328,133.30190931122874,47.4311159398122,16.0
Misiones,242.8046672591474,116.36647622599848,47.92596350785942,15.0
Neuquén,245.97969927110884,133.3939496170978,54.22965798087118,6.0
Río Negro,245.97969927110884,133.3939496170978,54.22965798087118,7.0
Salta,256.4242437775844,103.3652290019234,40.31024035760817,22.0
San Juan,281.0431647452328,133.30190931122874,47.4311159398122,17.0
San Luis,281.0431647452328,133.30190931122874,47.4311159398122,18.0
Santa Cruz,245.97969927110884,133.3939496170978,54.22965798087118,8.0
Santa Fe,254.80394924892244,144.06172514615065,56.53826228784792,4.0
Santiago del Estero,256.4242437775844,103.3652290019234,40.31024035760817,23.0
TdF,245.97969927110884,133.3939496170978,54.22965798087118,9.0
Tucumán,256.4242437775844,103.3652290019234,40.31024035760817,24.0
