PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Dependencia,LI,LS,ME,ER
Buenos Aires,78.3885542786301,67.48983316088591,862,1624,837199.2011617698,1708567.5066039753,2545766.707765745,86.09654021809746,82.52727847308759,89.66580196310734,3.5692617450098814,4.145650610312938
CABA,79.00454772363256,80.06534925758409,121,244,138932.94015920023,322846.6379708771,461779.57813007734,101.34270945726105,92.52290336811436,110.16251554640775,8.819806089146686,8.702950746413817
Catamarca,72.99824388882436,75.77218365589394,236,499,17701.956497611533,34143.01898375811,51844.97548136965,103.80000890335698,97.00173483330374,110.59828297341024,6.798274070053241,6.549396422868109
Chaco,72.40935865174033,70.30363575734494,218,491,52889.72920951272,132003.8565442449,184893.58575375762,97.09191887125658,89.91288977250454,104.27094797000859,7.17902909875203,7.394054193399338
Chubut,76.13366871621695,60.70321833969143,292,508,28775.804813637173,49128.05270909824,77903.85752273542,79.7324224134772,73.25609506843116,86.20874975852321,6.476327345046016,8.122576925433187
Corrientes,74.42333149856576,72.86288903249353,225,514,47984.84600218743,113966.32732190173,161951.17332408915,97.90328861305771,91.0275102695182,104.77906695659722,6.875778343539513,7.023031034957968
Córdoba,81.78935148271165,77.3181807535393,421,921,163000.3081476516,421842.8861356796,584843.1942833313,94.53330947352302,89.96108701084312,99.10553193620292,4.572222462679898,4.836625828656184
Entre Ríos,82.05739276293893,68.85423717828017,382,798,75565.99210477511,139443.66638101012,215009.65848578524,83.90985243364698,78.89693436088623,88.92277050640773,5.012918072760755,5.974171003011592
Formosa,72.30887614563424,75.46081424972648,294,675,37413.75907445896,87592.510160164,125006.26923462297,104.35899196904134,98.30085749720354,110.41712644087916,6.058134471837814,5.805091020460405
Jujuy,73.75496000771687,69.38956988513831,319,634,34009.329824431035,68981.2409054687,102990.57072989974,94.08122501575241,88.0662558462076,100.09619418529722,6.014969169544811,6.39337887930105
La Pampa,77.47270142108448,69.97221809286843,138,268,17720.825139258108,34050.47163470743,51771.296773965536,90.31854680341021,81.44730971562971,99.18978389119071,8.871237087780502,9.822165437504077
La Rioja,85.6120305814232,70.08043253952509,242,443,16809.279057537893,31552.649351800388,48361.92840933828,81.85815949415377,75.71526129482187,88.00105769348568,6.142898199331907,7.5043199569746335
Mendoza,85.97618763786119,75.5628460070614,285,648,86687.23167308001,195499.93286851278,282187.1645415928,87.88810958371212,82.67292004065166,93.10329912677258,5.215189543060461,5.93389659620915
Misiones,82.84084606200192,69.50366194733665,195,428,45069.77441185139,99223.36847923294,144293.14289108434,83.90023189202692,77.0426015680556,90.75786221599824,6.857630323971323,8.173553480515478
Neuquén,81.97876149447328,63.18054524929324,183,319,31967.806467042814,52624.1297796698,84591.9362467126,77.06940687747846,69.38660017243946,84.75221358251744,7.682806705038995,9.968685391925726
Río Negro,79.5796986476838,69.89834889009725,324,584,37695.99754462087,68261.43640073143,105957.4339453523,87.83439756356965,82.0805110666328,93.58828406050652,5.753886496936865,6.550835044747156
Salta,78.07569394421445,75.5234504032061,343,811,61957.36809881363,141321.1710501973,203278.53914901093,96.73106518549557,91.44646603601532,102.0156643349758,5.284599149480237,5.463187177093798
San Juan,81.17725401415508,73.53583784354322,343,760,37964.86586978779,87559.73700367824,125524.60287346604,90.58675208540632,85.3954886941242,95.77801547668844,5.191263391282119,5.730709261314206
San Luis,80.11051712513648,72.46231631528522,271,531,23744.517816806863,47307.64664768156,71052.16446448842,90.45293791088079,84.36837999809286,96.53749582366872,6.084557912787924,6.726766485774917
Santa Cruz,76.06238313524858,64.49431885731929,127,207,18582.864065610684,28978.9563667346,47561.82043234528,84.7913465222884,74.91362945055653,94.6690635940203,9.877717071731883,11.649440039421249
Santa Fe,76.5719794965307,70.9638496492775,386,764,172179.9775121229,332386.81744661496,504566.79495873785,92.67600252190516,87.36435598791292,97.98764905589742,5.311646533992254,5.731415241757733
Santiago del Estero,83.759887796591,77.1100048820563,261,677,42649.76543848145,96907.06566617014,139556.8311046516,92.06077862629928,86.58026130972907,97.54129594286948,5.48051731657021,5.953151166380179
TdF,70.85967863402061,55.699646677467385,83,126,7081.901217843537,11546.533171178315,18628.43438902185,78.60555925626974,65.53663428637762,91.67448422616187,13.068924969892132,16.625955076898364
Tucumán,73.95214746648557,74.98721984653675,283,721,62639.88993260467,156381.58911261038,219021.47904521506,101.39965155240456,95.38791588963372,107.41138721517541,6.01173566277085,5.928753768610253
