Provincia,Mujer,Varon,N_m,N_v,N_pob_v,N_pob_m,N_pob_tot,No Pobreza,LI,LS,ME,ER
Buenos Aires,52.3577940840468,63.953278948866036,1377,1698,1300139.6474867838,709480.839601639,2009620.4870884228,81.86881883868625,,,,
CABA,82.03439978384596,84.55951006999022,174,217,242779.7197735499,236271.92041379886,479051.64018734876,97.01380686329163,,,,
Catamarca,58.3235758615522,58.13033099974113,400,404,16832.657152576612,18217.38585407752,35050.04300665413,100.33243378884585,,,,
Chaco,45.663874493939545,45.4594021483538,322,360,51267.90851702179,36634.943889841,87902.85240686279,100.44979110134018,,,,
Chubut,62.24749897374152,73.84943294942413,432,532,48440.064732580635,31223.635332621885,79663.70006520252,84.2897453476343,,,,
Corrientes,51.09993591764479,60.750904080966606,308,376,61888.24834697995,39200.58387969465,101088.8322266746,84.11386907022921,,,,
Córdoba,49.20824922827202,71.17019364263048,806,605,192487.09740616442,179598.42306684636,372085.5204730108,69.1416542652156,,,,
Entre Ríos,52.72873531321077,69.53385525036427,522,641,94040.30400906691,64812.31688358507,158852.62089265196,75.83174429686832,,,,
Formosa,43.48046921041373,49.82241474632527,426,273,18223.177872061937,25296.547448340058,43519.725320401994,87.27089891527326,,,,
Jujuy,49.06716617135389,52.767281809014555,506,464,31370.055619293584,29572.424915559746,60942.48053485333,92.98786007008503,,,,
La Pampa,57.573730104571716,61.68801388196812,264,225,17884.716211885105,15282.100525342827,33166.81673722793,93.33049725791376,,,,
La Rioja,60.1425330240953,64.61224965278679,401,423,21717.809346247777,18164.29560827287,39882.10495452065,93.08224577737063,,,,
Mendoza,51.27648791848447,60.07625844287925,380,550,102471.7693387042,59991.11085598978,162462.88019469398,85.3523325978071,,,,
Misiones,53.830071367672694,65.56067691200724,265,515,86506.09117745217,34295.626572620014,120801.71775007219,82.10725377335737,,,,
Neuquén,55.13065592916059,69.7154123737356,362,328,39145.76938333934,34128.49597422137,73274.26535756071,79.07958090187009,,,,
Río Negro,53.16175088816816,63.67139453933635,399,431,43074.60722481204,32024.264150083738,75098.87137489578,83.49393204404326,,,,
Salta,51.55616984249838,55.86100442076869,607,584,64523.520243036306,57533.5693448941,122057.08958793042,92.2936677868438,,,,
San Juan,58.49031754524463,62.90527254789762,327,542,47049.213985235074,27350.709006252684,74399.92299148775,92.98158195039798,,,,
San Luis,53.542835541114734,57.69888788038598,315,446,27217.387013902593,17604.47004122875,44821.857055131346,92.79699749519081,,,,
Santa Cruz,71.2857915408589,68.28133905756201,268,261,28258.212465767272,27338.59801884733,55596.8104846146,104.40010773772919,,,,
Santa Fe,60.415653606394706,70.33737573809296,577,756,238170.76510299527,139306.65567467836,377477.4207776736,85.89409680474488,,,,
Santiago del Estero,56.14229781995471,57.78305064849272,423,482,39293.64599900174,31048.079520672058,70341.7255196738,97.16049462580459,,,,
TdF,72.75930111169475,75.51135308938932,138,166,13643.621728443313,10552.6620074544,24196.283735897712,96.35544608181405,,,,
Tucumán,54.33449873549765,62.2239986150498,403,695,90157.06586380293,46094.749926707154,136251.8157905101,87.3208086025446,,,,
