PROVINCIA,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
CABA,14.453377090400158,23.22856826081357,160.7137772406273,104,141,115784.5913033069,174932.0817698494,290716.6730731563
Buenos Aires,11.853490584554198,21.676025467641814,182.8661803290835,537,769,499325.18334184785,683019.9897684547,1182345.1731103025
Catamarca,34.43239945578785,44.874364949883564,130.32598848507052,391,384,25850.26268952044,25884.13579279672,51734.39848231716
Córdoba,11.733995813704086,14.948282257764781,127.39294009553628,218,232,105935.33147569816,92512.715923479,198448.04739917716
Corrientes,18.525702140633577,28.72293652190054,155.04371334407205,187,192,42692.05687290012,44349.838942777045,87041.89581567716
Chaco,19.148733796202396,37.11272876756779,193.81296519422102,179,223,47823.5915563949,57326.43148840999,105150.0230448049
Chubut,19.52193213641011,34.192053710417866,175.14687312454433,265,361,27439.36664487414,34983.453773358226,62422.82041823237
Entre Ríos,16.448019575944688,30.103933488179045,183.02466962166193,260,333,49044.52072318323,65709.98432751182,114754.50505069505
Formosa,19.762273200238173,33.19488809666549,167.97100090826305,184,161,21136.495326223972,18708.261308149013,39844.756634372985
Jujuy,22.994445772021958,35.64951209093332,155.0353178518839,327,462,40147.40093803833,47243.51600991259,87390.91694795093
La Pampa,18.455476207301952,31.89028691855552,172.7957954611762,118,167,13576.603508925724,17427.470325807462,31004.073834733186
La Rioja,37.652989408381366,54.30456698266839,144.22378630733758,433,493,31969.637109262632,34422.97728063308,66392.61438989571
Mendoza,15.58108387035203,22.27296230262912,142.94873506849237,206,241,66219.9773819778,65718.2785085657,131938.2558905435
Misiones,19.0231712004882,29.810185278874386,156.70460495098396,215,242,44890.0872802617,49141.600565203276,94031.68784546497
Neuquén,23.561900503131135,37.58156400415732,159.50141203237453,207,257,33065.49970281271,40535.201852417726,73600.70155523044
Río Negro,23.712225929456025,33.198045809325535,140.0039199528963,285,285,36562.10084851562,37429.14440316323,73991.24525167885
Salta,16.431860650964705,25.488045308537426,155.11356778114498,257,336,50337.046102603264,59816.49565029653,110153.5417528998
San Juan,15.378334126344848,27.22671016282641,177.0459006751839,204,231,27028.400793067212,30881.586225895455,57909.98701896267
San Luis,23.343263724573568,44.07512224682539,188.81302446335852,267,360,25515.90060830426,34294.23728633463,59810.13789463889
Santa Cruz,29.675133394350294,53.842929267613385,181.44123752402166,194,274,27010.657395316037,38220.91465525082,65231.57205056686
Santa Fe,11.018531684994748,20.090917239512102,182.3375184088485,242,319,87338.31057394233,122156.55651927726,209494.8670932196
Santiago del Estero,21.035475645431948,30.787363563761826,146.35924607888575,245,248,35900.445054146505,33958.58630156038,69859.03135570689
Tucumán,16.082122160071357,23.9889375901154,149.1652491589391,239,268,51471.60116230366,53826.405476978194,105298.00663928186
TdF,28.421343234414998,39.81121193267006,140.07505417429826,119,117,12267.559266460134,11327.439518188014,23594.998784648145
