PROVINCIA,INTENSI,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
CABA,1.0,0.07956423054864478,0.11186943000996388,1.406026668498579,51,65,63738.12748963481,84247.77652380386,147985.90401343867
CABA,2.0,0.6080540695104457,0.682276731585541,1.122065891500164,436,445,487106.1724068692,513815.9513719732,1000922.1237788424
CABA,3.0,0.29162455936723486,0.16310375669886293,0.5592936241473092,208,113,233617.58438288563,122831.84819422783,356449.43257711345
CABA,4.0,0.020757140573674625,0.04275008170563229,2.059536165585849,11,25,16628.3424483853,32194.669532057873,48823.011980443174
Buenos Aires,1.0,0.09917987437791345,0.1766213456647272,1.7808184046667772,382,513,417792.62069946295,556540.7269376904,974333.3476371533
Buenos Aires,2.0,0.5087890976582583,0.5866020253024217,1.152937490214125,2143,2025,2143260.735378547,1848405.7878522305,3991666.5232307776
Buenos Aires,3.0,0.3602973418321876,0.1982379052615882,0.5502064052249368,1529,685,1517743.106847911,624655.34664377,2142398.453491681
Buenos Aires,4.0,0.03173368613164071,0.038538723771263,1.2144420793535609,132,135,133677.3208934901,121437.01692559908,255114.33781908918
Catamarca,1.0,0.05350639974899789,0.07584099602469421,1.4174191569694357,48,51,4017.0145297544377,4374.610408317844,8391.624938072282
Catamarca,2.0,0.5464572243273407,0.7033310549318537,1.2870743099747948,597,582,41025.49639500497,40569.0789239666,81594.57531897156
Catamarca,3.0,0.36424211488038966,0.16958026185408615,0.4655701659039981,370,151,27345.62360179006,9781.617033492037,37127.2406352821
Catamarca,4.0,0.035794261043271706,0.05124768718936607,1.4317291570124246,37,48,2687.2685766030936,2956.035357286459,5643.303933889552
Córdoba,1.0,0.12431780568682926,0.19328114874356295,1.5547342367871277,231,262,112234.98084416319,119618.85451948024,231853.83536364342
Córdoba,2.0,0.551247349791926,0.5781936990598436,1.0488825012548155,1117,914,497669.94681476447,357835.55934718635,855505.5061619508
Córdoba,3.0,0.3056797612320647,0.1960765758659497,0.6414444158018466,617,303,275969.81749142864,121348.90316854038,397318.720659969
Córdoba,4.0,0.018755083289179977,0.03244857633064375,1.7301216864957194,42,51,16932.219822110404,20081.94568736385,37014.16550947425
Corrientes,1.0,0.14177463412710348,0.1420485145525608,1.001931801320762,134,89,32671.640175047683,21933.09426305812,54604.73443810581
Corrientes,2.0,0.42013667025034074,0.5467594692930945,1.3013847826406224,409,376,96819.53474452766,84422.75526075809,181242.29000528576
Corrientes,3.0,0.3895724432696175,0.24866829152447656,0.6383107835796712,388,177,89776.07854172465,38395.79101140018,128171.86955312482
Corrientes,4.0,0.04851625235293832,0.06252372462986816,1.2887171122581873,44,36,11180.459390894537,9654.01680055559,20834.47619145013
Chaco,1.0,0.09914459659609656,0.20572704950753662,2.075020289261395,101,101,24761.170859117556,31777.77005503503,56538.94091415258
Chaco,2.0,0.4825169542280206,0.5435794988150607,1.1265500498002898,439,362,120507.67420774816,83964.38077212292,204472.05497987109
Chaco,3.0,0.4139046320241095,0.24004426696302772,0.5799506659037471,327,151,103371.87970698405,37078.60262829021,140450.48233527425
Chaco,4.0,0.004433817151773312,0.010649184714374926,2.401809625847058,5,8,1107.3372409835126,1644.9336338467397,2752.270874830252
Chubut,1.0,0.05527518185078932,0.09934266715999512,1.7972381787573717,77,106,7769.29235573508,10164.202576854601,17933.49493258968
Chubut,2.0,0.4704620888470693,0.6842946207762926,1.45451596844551,574,651,66126.5578539295,70013.31197017638,136139.86982410587
Chubut,3.0,0.43838400404974776,0.18047240362483383,0.41167652550651423,517,195,61617.77089642637,18464.956925510935,80082.72782193731
Chubut,4.0,0.03587872525239357,0.03589030843887844,1.0003228427544009,44,35,5042.99210791217,3672.1015848209145,8715.093692733084
Entre Ríos,1.0,0.1058132408417708,0.20085875355179317,1.898238367466222,153,238,31551.273752380283,43842.8604458435,75394.13419822378
Entre Ríos,2.0,0.4366179492160622,0.5420439310688658,1.2414604851726634,699,614,130190.2515349544,118315.76172377645,248506.01325873085
Entre Ríos,3.0,0.4225982747062163,0.1817056289899904,0.42997248182404274,668,243,126009.88067720066,39662.17251257678,165672.05318977745
Entre Ríos,4.0,0.03497053523595075,0.07539168638935065,2.155863096766267,31,32,10427.475065683639,16456.27649627317,26883.751561956808
Formosa,1.0,0.07584583030475138,0.10751004270028487,1.4174812546491415,66,47,8111.997144795232,6059.143703783808,14171.14084857904
Formosa,2.0,0.5222932341299246,0.5915710930266114,1.1326416931517314,459,282,55861.22805939404,33340.27383511773,89201.50189451178
Formosa,3.0,0.38632960036414127,0.2698686721062886,0.6985451589832089,325,127,41319.40546384226,15209.491358866168,56528.896822708426
Formosa,4.0,0.015531335201182796,0.031050192166815194,1.9991965767663396,12,13,1661.134782236801,1749.9535080022536,3411.0882902390545
Jujuy,1.0,0.10713524644771139,0.1658482487953801,1.54802694999469,146,196,18705.394060704948,21978.574004588503,40683.96806529345
Jujuy,2.0,0.43795514900637467,0.5799149540449787,1.3241423359462268,616,723,76465.25223682809,76851.60275385526,153316.85499068335
Jujuy,3.0,0.4298078236467357,0.21725109668948836,0.5054610101002948,646,277,75042.76116646684,28790.592248333356,103833.35341480019
Jujuy,4.0,0.02510178089917829,0.03698570047015296,1.4734293402809395,43,45,4382.672546273279,4901.426218239603,9284.098764512883
La Pampa,1.0,0.11601198471559378,0.2229497635122978,1.921782168099827,92,119,8534.31632473399,12183.805049102875,20718.121373836868
La Pampa,2.0,0.43282912834599946,0.5581856233891104,1.2896212080784502,279,292,31840.681847822314,30503.844047404647,62344.525895226965
La Pampa,3.0,0.42368448281191984,0.18105200656463488,0.42732744273055356,250,102,31167.964301814234,9894.167712856663,41062.1320146709
La Pampa,4.0,0.027474404126486947,0.037812606533956836,1.3762848635360667,15,24,2021.129594703843,2066.3911867426204,4087.5207814464634
La Rioja,1.0,0.1194710579417818,0.16391762594186743,1.372027910071278,139,147,10143.806447963634,10390.53071814947,20534.337166113102
La Rioja,2.0,0.5421473826184426,0.6289045923831151,1.1600251380826665,613,560,46031.55115803394,39865.465647114186,85897.01680514813
La Rioja,3.0,0.3026682790809496,0.13795867253228547,0.45580816381285855,348,121,25698.34480273461,8745.0255367303,34443.370339464906
