PROVINCIA,CAT_OCUP,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Buenos Aires,1.0,4.463035547221665,2.3980981235967302,53.73244506397887,183.0,75.0,188004.20238925383,75565.00421573759,263569.2066049914
Buenos Aires,2.0,25.164630337699418,20.825234717884264,82.75597311948488,1037.0,696.0,1060053.4557706541,656211.2424701097,1716264.698240764
Buenos Aires,3.0,69.63559619812418,76.17732521251116,109.39423135801802,2951.0,2571.0,2933381.2340523275,2400377.13394042,5333758.367992748
Buenos Aires,4.0,0.7367379169547361,0.5993419460078487,81.35076697086451,15.0,16.0,31034.891607175483,18885.497733022457,49920.389340197944
CABA,1.0,6.6481512778496,3.5280125324799574,53.06757299934851,44.0,21.0,53257.69014493082,26569.118246430466,79826.8083913613
CABA,2.0,24.73749460654851,17.793522301044415,71.92936303393519,166.0,117.0,198169.65163037056,134001.28080175188,332170.9324321224
CABA,3.0,68.6143541156019,78.33978134779522,114.17404179861236,496.0,508.0,549662.8849524736,589969.2517718979,1139632.1367243715
CABA,4.0,,0.33868381868041797,,,2.0,,2550.594801982541,
Catamarca,1.0,4.81309916086448,2.5864020040423226,53.73672799165391,54.0,26.0,3613.4535967734623,1491.8713782838001,5105.324975057262
Catamarca,2.0,16.658801700065517,15.862650666696723,95.22083852306338,164.0,128.0,12506.66252847902,9149.789737393057,21656.452265872078
Catamarca,3.0,78.46944527915896,81.07649727664462,103.32237852352712,833.0,673.0,58911.25235613632,46766.01145123119,105677.2638073675
Catamarca,4.0,0.05865385991102568,0.474450052616341,808.8982606363038,1.0,5.0,44.03462176376093,273.6691561548836,317.7037779186445
Chaco,1.0,4.452969996227714,1.7025074675799434,38.233077452176964,37.0,10.0,11121.20626768071,2629.7898575439144,13750.996125224625
Chaco,2.0,32.63058235037386,21.158442058332795,64.8423672956311,259.0,136.0,81494.24704421296,32682.5329027941,114176.77994700706
Chaco,3.0,62.616743868147495,75.96313371927309,121.31441053407246,570.0,464.0,156384.10430749034,117336.97643403502,273721.0807415254
Chaco,4.0,0.299703785250931,1.1759167548141871,392.35966066615913,6.0,12.0,748.5043954492979,1816.3878949218733,2564.8922903711714
Chubut,1.0,4.752725890611828,2.8788087769549877,60.571740159506504,56.0,27.0,6680.270547189051,2945.440909279385,9625.711456468436
Chubut,2.0,17.827611597843966,16.431299063547083,92.16769713299257,230.0,153.0,25057.887078876305,16811.613484646656,41869.50056352296
Chubut,3.0,77.4196625115442,80.68989215949793,104.22402984185845,926.0,807.0,108818.45558793776,82557.5186634368,191375.97425137454
Corrientes,1.0,3.7931863665868724,2.133326618061531,56.24101775893254,39.0,15.0,8741.311226020707,3293.976987736901,12035.288213757609
Corrientes,2.0,30.237055268013002,27.45699105011621,90.80577062397424,290.0,191.0,69680.60229898996,42395.14751555601,112075.74981454597
Corrientes,3.0,65.0931494026473,69.02202032717557,106.03576714382864,641.0,465.0,150005.67402186262,106573.9041926056,256579.5782144682
Corrientes,4.0,0.8766089627528203,1.387662004646684,158.2988611351863,5.0,7.0,2020.1253053212201,2142.6286398734633,4162.753945194683
Córdoba,1.0,4.676799957939478,1.4569303988429159,31.152292421008653,99.0,30.0,42222.475758107,9016.727526563978,51239.20328467098
Córdoba,2.0,24.8371769799995,25.795086121609568,103.85675530830834,526.0,379.0,224231.76367797365,159641.98651323677,383873.7501912104
Córdoba,3.0,70.18088359384457,71.4542739125306,101.81444041949581,1377.0,1107.0,633597.905164448,442219.9708300703,1075817.8759945184
Córdoba,4.0,0.3051394682164486,1.2937095670169294,423.97319972362453,5.0,14.0,2754.8203719380444,8006.5778526997565,10761.3982246378
Entre Ríos,1.0,5.131652648152261,2.541508986789467,49.5261304894551,88.0,36.0,15301.50444461801,5547.531380101654,20849.035824719664
Entre Ríos,2.0,26.722758164825017,20.4758277859342,76.62318260577754,410.0,237.0,79681.6212762867,44694.03719068451,124375.65846697122
Entre Ríos,3.0,67.9808052939249,75.09150979510788,110.45987094509813,1050.0,851.0,202704.40454075715,163907.54828445532,366611.9528252125
