PROVINCIA,Varones PP03C==0 | PP03C==1,Mujeres PP03C==0 | PP03C==1,Nv,Nm,Varones PP03C==2,Mujeres PP03C==2,Nv,Nm,Varones PP03D>1 & PP04B1==1 & PP04B2>2,Mujeres PP03D>1 & PP04B1==1 & PP04B2>2,Nv,Nm
CABA,696194.5451047453,625670.164727927,622,543,104895.68162302961,127420.08089413578,84,105,,7570.368127757946,,6.0
Buenos Aires,3923155.9334903373,2751376.384243332,3932,2908,289317.85032907384,399662.49411595816,254,450,,40374.84091075844,,53.0
Catamarca,68971.42639315818,50419.65385535203,966,734,6103.976709994383,7261.687867710904,86,98,,273.13366742657115,,4.0
Córdoba,840099.1351413553,535955.2213316277,1866,1313,62707.829831111376,82930.0413909431,141,217,,5193.9902552688145,,21.0
Corrientes,212788.64831543958,131678.78607862146,905,583,17659.064536754948,22726.87125715052,70,95,,1022.0398760516945,,4.0
Chaco,242489.9527221289,145547.5911280132,833,577,7258.109292704407,8918.095961281679,39,45,,55.93587088910172,,1.0
Chubut,136275.28464957495,91341.80746305225,1166,872,4281.328564428148,10972.765594310586,46,115,53.690382539367576,347.8316418509618,1.0,4.0
Entre Ríos,274386.1092416459,187499.35472893412,1465,970,23792.771788573064,30777.716449535765,86,157,,4255.643262100297,,19.0
Formosa,105840.51809895274,55042.853963167334,851,458,1113.2473513155924,1316.008442602625,11,11,,,,
Jujuy,159409.24067644303,118526.10600829296,1327,1116,15186.839333830107,13996.089216723758,124,125,,,,
La Pampa,68937.65731043227,46324.62439825296,597,464,4626.434758642113,8323.583597853843,39,73,,1265.7238306140061,,12.0
La Rioja,79666.07779845924,59114.76330508008,1072,828,5239.895436553945,4273.970264270301,68,60,,,,
Mendoza,380159.2483093859,245606.2784810759,1222,850,44843.132352863,49452.26656395501,158,184,617.674829605187,6129.161009401312,1.0,22.0
Misiones,221238.02292118256,145061.9493242961,929,662,14737.81311140101,19786.407388295378,69,104,,2192.131156257972,,10.0
Neuquén,137062.38333133803,99945.80477068399,827,650,3272.220400727828,7913.468589875638,20,53,,726.0128542988724,,5.0
Río Negro,149529.90706230694,103405.37125419981,1081,808,4661.019412870991,9339.651805709209,33,76,,799.8754872188817,,7.0
Salta,286410.72639864095,205750.82315475532,1522,1189,19927.3516305687,28933.69237480754,110,162,,694.641807263148,,5.0
San Juan,163770.72619449062,95491.4622807205,1210,706,11985.637082624466,17932.39995313534,85,133,,1028.6511652217869,,8.0
San Luis,105509.97202512219,73560.60178890375,1076,742,3797.3678111816025,4248.002108513136,39,48,,436.06163298783065,,3.0
Santa Cruz,85348.23782845821,61490.57247666575,559,445,5672.944911897958,9495.37716452653,39,69,,794.3744921180734,,4.0
Santa Fe,747564.4370365972,542392.2037229654,1809,1362,45084.829406783465,65626.60927097923,114,165,,6194.159151646481,,20.0
Santiago del Estero,162560.31752591344,100785.59527462251,1147,763,8105.8735280674155,9514.80843234262,48,67,,,,
Tucumán,287614.46080382844,186270.04586621627,1365,923,32440.322078602265,38110.06798741796,144,196,,1633.0413715086574,,8.0
TdF,41582.896325553076,27052.452557153265,411,287,1580.2967905468047,1400.4353814137062,13,13,,156.5014259982314,,1.0
