PROVINCIA,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Buenos Aires,52253.27212707422,30865.358700598325,59.06875769528301,185,313,528995,632244,1161239
CABA,72211.50815132866,45525.017457379596,63.04399204899026,62,86,180922,247219,428141
Catamarca,47176.80237064802,36444.558669624865,77.251014986763,87,87,11158,11259,22417
Chaco,46175.1252453606,26298.401640975993,56.953611931173484,51,41,15195,12305,27500
Chubut,64958.806369960024,35112.25324757416,54.05310720704946,47,107,7936,17351,25287
Corrientes,28811.51323409197,30360.58792369392,105.37658219134762,82,99,37136,38844,75980
Córdoba,32695.629906668775,27021.419141786075,82.64535419234925,181,236,156709,158291,315000
Entre Ríos,31587.645116648422,27551.448584126694,87.22223034475454,60,128,40304,58335,98639
Formosa,23390.115640598444,35971.562684534605,153.7895888898404,8,9,1202,2187,3389
Jujuy,25071.907333353334,24317.247868321363,96.9900197260699,153,144,31107,26798,57905
La Pampa,116711.99598195651,35369.57070041691,30.305000272538386,38,45,10802,11073,21875
La Rioja,27757.240178502714,44316.194735036035,159.65634353431798,41,37,5671,4590,10261
Mendoza,41729.051061028586,27538.035281240653,65.99247905485886,163,166,92119,83338,175457
Misiones,48683.443904522486,29846.12017562535,61.306509527467455,55,85,25389,35689,61078
Neuquén,66446.51010310107,45075.79574995816,67.83771740610116,15,48,4312,12620,16932
Río Negro,37858.83594677117,28019.963979454184,74.0116891571884,17,43,4024,10055,14079
Salta,31677.44609808529,23373.46486740557,73.78582476324806,142,171,46073,51080,97153
San Juan,41048.93399633927,37868.86297530944,92.25297538466305,94,130,23902,30365,54267
San Luis,38583.185914575915,26400.937269917504,68.42601678453875,31,33,6074,5551,11625
Santa Cruz,69445.00151005937,41653.98049332645,59.981250756100444,34,62,9121,15573,24694
Santa Fe,48438.14557081088,33895.710936346855,69.97730928157708,83,127,70518,90515,161033
Santiago del Estero,42749.72783568932,37547.433861922815,87.83081381532585,32,54,9429,12756,22185
TdF,46182.122764707005,74783.37496713253,161.93143686388316,8,12,1665,2240,3905
Tucumán,30516.36849284133,23662.859771295094,77.54153242986968,215,213,82918,73303,156221
