PROVINCIA,Varon,Mujer,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot,Horas promedio remuneradas
Buenos Aires,15.67891517218062,10.87324505890015,248,443,4212473.783819411,3151038.87835929,7363512.662178701,69.34947309487804
CABA,13.01189991752588,12.708548369700988,81,101,801090.226727775,753090.2456220627,1554180.4723498377,97.66866061261119
Catamarca,19.856730903392233,16.420998276838773,86,98,75075.40310315257,57681.341723062935,132756.7448262155,82.69739040495072
Chaco,12.608781305879637,16.84724823605598,39,45,249748.0620148333,154465.6870892949,404213.7491041282,133.6151990216524
Chubut,16.65343601538767,13.827677804711918,45,115,140556.61321400313,102314.57305736284,242871.18627136596,83.03198085929674
Corrientes,15.919879330952861,14.957812468807338,69,95,230447.71285219453,154405.65733577198,384853.3701879665,93.95682063823821
Córdoba,12.903033314373493,10.826218778253027,141,217,902806.9649724667,618885.2627225708,1521692.2276950376,83.90444722942028
Entre Ríos,13.725973764718477,13.033964133099932,85,157,298178.88103021897,218277.0711784699,516455.95220868883,94.95839316408063
Formosa,16.528436869749797,20.197187489394203,11,11,106953.76545026833,56358.862405769956,163312.62785603828,122.19659758848051
Jujuy,17.349747798257546,14.687997729230236,124,125,174596.08001027314,132522.1952250167,307118.2752352898,84.6582780339053
La Pampa,17.48320626686384,15.15583115750346,38,68,73564.09206907438,54648.20799610681,128212.30006518119,86.6879388492288
La Rioja,16.33513568130799,16.486327515242767,68,60,84905.97323501318,63388.73356935038,148294.70680436355,100.9255621556164
Mendoza,12.853706976654511,11.128693184295884,148,177,425002.38066224894,295058.5450450309,720060.9257072798,86.57963966743853
Misiones,16.919978123651397,13.606979730624008,67,102,235975.83603258358,164848.35671259149,400824.1927451751,80.41960593083537
Neuquén,15.190687334791463,12.848615210606571,20,52,140334.60373206585,107859.27336055963,248193.87709262548,84.5821846466367
Río Negro,17.475027373491017,11.968135858937764,33,75,154190.92647517793,112745.02305990901,266935.9495350869,68.48707932265098
Salta,14.346935004608218,12.017898837123965,110,161,306338.0780292097,234684.51552956284,541022.5935587725,83.76631547618938
San Juan,14.196689517993855,12.710662283587668,85,132,175756.36327711507,113423.86223385583,289180.2255109709,89.53257917965527
San Luis,18.09926763017387,14.551023303610222,39,48,109307.3398363038,77808.60389741688,187115.9437337207,80.39564694513795
Santa Cruz,15.933794596885178,15.584379084982174,38,68,91021.18274035616,70985.94964119229,162007.13238154846,97.80707909984412
Santa Fe,15.774810691342562,13.143646576743182,109,164,792649.2664433806,608018.8129939446,1400668.0794373252,83.32047105932371
Santiago del Estero,17.39449603394365,15.735650675445072,48,67,170666.19105398087,110300.40370696512,280966.594760946,90.4633893660299
TdF,14.935058539902386,15.33601539060357,13,13,43163.19311609988,28452.88793856697,71616.08105466685,102.68466875861209
Tucumán,15.158108881279777,11.099714252319938,139,195,320054.7828824307,224380.11385363425,544434.8967360649,73.22624701573463
