Provincia,Mujer,Varon,TCS TNR
Buenos Aires,363.71325422336616,172.48142001031604,47.42236308616637
CABA,369.9193263213296,170.36789221576348,46.05541805830761
Catamarca,352.69039364426425,128.00753850402361,36.294591746986015
Chaco,347.9404389814454,150.39023453235262,43.222982350830584
Chubut,314.98733578447184,160.67429633945935,51.00976391298466
Corrientes,347.9404389814454,150.39023453235262,43.222982350830584
Córdoba,345.5492120894187,178.6673307289683,51.70532140664643
Entre Ríos,345.5492120894187,178.6673307289683,51.70532140664643
Formosa,347.9404389814454,150.39023453235262,43.222982350830584
Jujuy,352.69039364426425,128.00753850402361,36.294591746986015
La Pampa,345.5492120894187,178.6673307289683,51.70532140664643
La Rioja,352.69039364426425,128.00753850402361,36.294591746986015
Mendoza,366.3980409460557,155.7855066290673,42.51810578103047
Misiones,347.9404389814454,150.39023453235262,43.222982350830584
Neuquén,314.98733578447184,160.67429633945935,51.00976391298466
Río Negro,314.98733578447184,160.67429633945935,51.00976391298466
Salta,352.69039364426425,128.00753850402361,36.294591746986015
San Juan,366.3980409460557,155.7855066290673,42.51810578103047
San Luis,366.3980409460557,155.7855066290673,42.51810578103047
Santa Cruz,314.98733578447184,160.67429633945935,51.00976391298466
Santa Fe,345.5492120894187,178.6673307289683,51.70532140664643
Santiago del Estero,352.69039364426425,128.00753850402361,36.294591746986015
TdF,314.98733578447184,160.67429633945935,51.00976391298466
Tucumán,352.69039364426425,128.00753850402361,36.294591746986015
