Provincia,Mujer,Varon,TCS TNR
Buenos Aires,16.067914240757677,14.474983089644656,90.0862605609855
CABA,15.664565501743603,14.16936222278251,90.45486911976803
Catamarca,19.878469589542775,13.922929069536854,70.04024634200773
Chaco,21.038978525987556,15.706758581429725,74.65551886004627
Chubut,17.316321751881404,13.786212513661637,79.61397755943047
Corrientes,21.038978525987556,15.706758581429725,74.65551886004627
Córdoba,17.248442499933123,15.369479675418955,89.10647831233774
Entre Ríos,17.248442499933123,15.369479675418955,89.10647831233774
Formosa,21.038978525987556,15.706758581429725,74.65551886004627
Jujuy,19.878469589542775,13.922929069536854,70.04024634200773
La Pampa,17.248442499933123,15.369479675418955,89.10647831233774
La Rioja,19.878469589542775,13.922929069536854,70.04024634200773
Mendoza,18.63715836865451,15.470333361048485,83.00800505654205
Misiones,21.038978525987556,15.706758581429725,74.65551886004627
Neuquén,17.316321751881404,13.786212513661637,79.61397755943047
Río Negro,17.316321751881404,13.786212513661637,79.61397755943047
Salta,19.878469589542775,13.922929069536854,70.04024634200773
San Juan,18.63715836865451,15.470333361048485,83.00800505654205
San Luis,18.63715836865451,15.470333361048485,83.00800505654205
Santa Cruz,17.316321751881404,13.786212513661637,79.61397755943047
Santa Fe,17.248442499933123,15.369479675418955,89.10647831233774
Santiago del Estero,19.878469589542775,13.922929069536854,70.04024634200773
TdF,17.316321751881404,13.786212513661637,79.61397755943047
Tucumán,19.878469589542775,13.922929069536854,70.04024634200773
