Provincia,Mujer,Varon,TCS TNR
Buenos Aires,1.9528340061927155e-05,1.3764448263662198e-05,70.48447650959153
CABA,9.39324322564776e-06,6.774217346743674e-06,72.11798080823701
Catamarca,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
Chaco,4.121933667545083e-05,3.380871893191374e-05,82.02150169983045
Chubut,0.00010906970750724453,8.484960878560504e-05,77.79392713597333
Corrientes,4.121933667545083e-05,3.380871893191374e-05,82.02150169983045
Córdoba,4.919192164136542e-05,3.422358036794356e-05,69.5715459490507
Entre Ríos,4.919192164136542e-05,3.422358036794356e-05,69.5715459490507
Formosa,4.121933667545083e-05,3.380871893191374e-05,82.02150169983045
Jujuy,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
La Pampa,4.919192164136542e-05,3.422358036794356e-05,69.5715459490507
La Rioja,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
Mendoza,4.594616148234025e-05,3.864241619415439e-05,84.10368776727276
Misiones,4.121933667545083e-05,3.380871893191374e-05,82.02150169983045
Neuquén,0.00010906970750724453,8.484960878560504e-05,77.79392713597333
Río Negro,0.00010906970750724453,8.484960878560504e-05,77.79392713597333
Salta,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
San Juan,4.594616148234025e-05,3.864241619415439e-05,84.10368776727276
San Luis,4.594616148234025e-05,3.864241619415439e-05,84.10368776727276
Santa Cruz,0.00010906970750724453,8.484960878560504e-05,77.79392713597333
Santa Fe,4.919192164136542e-05,3.422358036794356e-05,69.5715459490507
Santiago del Estero,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
TdF,0.00010906970750724453,8.484960878560504e-05,77.79392713597333
Tucumán,5.343824917049746e-05,3.7323120610567156e-05,69.84345705542454
